Serial Number,Common Name (India Checklist),Scientific Name (India Checklist),IUCN Status,WLPA Schedule,Analysed Long-term,Analysed Current,Long-term Trend (%),Long-term Trend CI (%),Current Annual Change (%),Current Annual Change CI (%),"Distribution Range Size (units of 10,000 sq. km.)","Distribution Range Size CI (units of 10,000 sq. km.)",Long Term Status,Current Status,Distribution Status,Status of Conservation Concern,Assessed Primarily Based On,Migratory Status
812,White-browed Wagtail,Motacilla maderaspatensis,Least Concern,Schedule-IV,X,X,-39.11910635,9.79227013,-5.129920498,2.325560945,162.0723614,0.0968,Moderate Decline,Strong Decline,Very Large,Moderate,Trends & Range Size,Resident
813,White Wagtail,Motacilla alba,Least Concern,Schedule-IV,X,X,-47.06335573,13.83235471,-1.341661526,4.567019179,161.7395218,0.0984,Moderate Decline,Uncertain,Very Large,Moderate,Trends & Range Size,Migratory-Long-Distance
814,Richard's Pipit,Anthus richardi,Least Concern,Schedule-IV,X,X,-93.48218105,7.160897218,-11.95683701,11.98305331,15.1985997,0.0969,Strong Decline,Uncertain,Moderate,Moderate,Trends & Range Size,Migratory-Long-Distance
815,Paddyfield Pipit,Anthus rufulus,Least Concern,Schedule-IV,X,X,-6.39552467,14.26151616,3.688840041,2.844598155,173.8789177,0.1149,Stable,Uncertain,Very Large,Low,Trends & Range Size,Resident
816,Long-billed Pipit,Anthus similis,Least Concern,Schedule-IV,,X,NA,NA,-4.312168346,10.39320267,19.9968731,0.0901,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Resident
817,Blyth's Pipit,Anthus godlewskii,Least Concern,Schedule-IV,,X,NA,NA,10.06539777,18.4840869,16.2595055,0.1653,Data Deficient,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Long-Distance
818,Tawny Pipit,Anthus campestris,Least Concern,Schedule-IV,X,X,-69.75499277,25.56572139,-2.236819299,14.10193829,50.249065,0.0947,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Long-Distance
819,Nilgiri Pipit,Anthus nilghiriensis,Vulnerable,Schedule-IV,X,X,2.19827414,208.8238572,-23.03595377,6.482289565,0.9498318,0.0358,Uncertain,Strong Decline,Restricted,High,Trends,Resident
820,Upland Pipit,Anthus sylvanus,Least Concern,Schedule-IV,,,NA,NA,NA,NA,8.6317672,0.1336,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
821,Rosy Pipit,Anthus roseatus,Least Concern,Schedule-IV,X,X,-36.92697717,122.5384812,6.55640314,43.57136986,9.0602184,0.1102,Uncertain,Uncertain,Moderate,Low,Trends & Range Size,Migratory-Local
822,Tree Pipit,Anthus trivialis,Least Concern,Schedule-IV,X,X,-50.48980175,73.04767642,5.820917845,32.00670844,56.7402774,0.1116,Uncertain,Uncertain,Large,Low,Trends & Range Size,Migratory-Local
823,Olive-backed Pipit,Anthus hodgsoni,Least Concern,Schedule-IV,X,X,-69.79568137,29.27253185,-5.444031669,14.80326066,40.7407513,0.0895,Moderate Decline,Uncertain,Large,Moderate,Trends & Range Size,Migratory-Local
824,Black-and-yellow Grosbeak,Mycerobas icterioides,Least Concern,Schedule-IV,,,NA,NA,NA,NA,7.8294917,0.0733,Data Deficient,Data Deficient,Moderate,Moderate,Trends & Range Size,Resident
825,Collared Grosbeak,Mycerobas affinis,Least Concern,Schedule-IV,,,NA,NA,NA,NA,4.1252489,0.1011,Data Deficient,Data Deficient,Restricted,Moderate,Trends & Range Size,Resident
